Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Tue Feb 01 10:27:53 EST 2022,MyMapReduceConfiguration.java,1643729273137,296655,0,(F)6(I)1(F)1(I)3,0.36363636363636365,0.0,0.0,63.63636363636363,0.0,0.0,0.037162162162162164,0.0,0.0,0.02364864864864865,0.0,0.0,0.013513513513513514,3.0,[1643729431806 1 Comp533LocalChecks/MapReduceConfiguration.java at master · pdewan/Comp533LocalChecks · GitHub https://www.google.com/url?q=https://github.com/pdewan/Comp533LocalChecks/blob/master/src/gradingTools/comp533s21/assignment1/interfaces/MapReduceConfiguration.java&sa=D&source=docs&ust=1643733023772165&usg=AOvVaw2f6A6yNKB_ddtlKLKLzhOP, 1643729432443 1 Comp533LocalChecks/MapReduceConfiguration.java at master · pdewan/Comp533LocalChecks · GitHub https://github.com/pdewan/Comp533LocalChecks/blob/master/src/gradingTools/comp533s21/assignment1/interfaces/MapReduceConfiguration.java]
,/modelData/A0UserStudy2010.arff,Tue Feb 01 10:27:53 EST 2022,MyMapReduceConfiguration.java, 1643729273137
2,,Tue Feb 01 10:32:49 EST 2022,MyMapReduceConfiguration.java,1643729569823,4324,4324,(I)7(R)7(I)9(R)2,0.64,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,2.25,4.0,0.0,[]
3,,Tue Feb 01 10:32:54 EST 2022,MyMapReduceConfiguration.java,1643729574278,7448,7448,(R)4(I)4(R)4(I)1(R)1(I)3(R)1(I)4(R)2,0.5,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,[]
4,,Tue Feb 01 10:33:02 EST 2022,MyMapReduceConfiguration.java,1643729582477,6125,6125,(I)2(R)9(I)9(R)4,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.1666666666666665,1.8333333333333333,0.0,[]
5,,Tue Feb 01 10:33:08 EST 2022,MyMapReduceConfiguration.java,1643729588789,18188,0,(R)5(I)10(F)4(I)2,0.5714285714285714,0.0,0.0,19.047619047619047,0.0,0.0,1.1666666666666667,0.0,0.0,0.2222222222222222,0.0,0.2777777777777778,0.6666666666666666,0.0,[]
6,,Tue Feb 01 10:33:27 EST 2022,MyMapReduceConfiguration.java,1643729607288,55430,0,(I)1(F)8,0.1111111111111111,0.0,0.0,88.88888888888889,0.0,0.0,0.16363636363636364,0.0,0.0,0.14545454545454545,0.0,0.0,0.01818181818181818,0.0,[]
7,,Tue Feb 01 10:34:22 EST 2022,MyMapReduceConfiguration.java,1643729662725,-83678,-83678,(I)1(F)1(I)1(R)1(I)1(R)1(I)1(R)1(I)1(R)1,0.5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
8,,Tue Feb 01 10:32:59 EST 2022,MyMapReduceConfiguration.java,1643729579448,96096,0,(I)1(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)2(F)1(I)12,0.782608695652174,0.0,0.0,4.3478260869565215,0.0,0.0,0.23958333333333334,0.0,0.0,0.010416666666666666,0.0,0.041666666666666664,0.1875,0.0,[]
10,,Tue Feb 01 10:39:04 EST 2022,RunSpring22Assignment0Tests.java,1643729944744,39223,0,(F)1(I)3(F)2(I)1(R)1(I)1(F)2,0.45454545454545453,0.0,0.0,45.45454545454545,0.0,0.0,0.28205128205128205,0.0,0.0,0.1282051282051282,0.0,0.02564102564102564,0.1282051282051282,0.0,[]
