Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.mapper.MapperFactory,mapper:factory,@MapperFactory,mapper:factory,setMapper,set:mapper,AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceSingletonChange,trace:singleton:change
comp533.MvcTokenCounter,mvc:token:counter,@StandAloneTokenCounter,stand:alone:token:counter,main,main,AMapReduceTracer,a:map:reduce:tracer,comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,TokenCounterController,token:counter:controller
comp533.MvcTokenCounter,mvc:token:counter,@StandAloneTokenCounter,stand:alone:token:counter,main,main,AMapReduceTracer,a:map:reduce:tracer,comp533.model.TokenCounterModel,token:counter:model,@ModelClass,model:class,TokenCounterModel,token:counter:model
comp533.MvcTokenCounter,mvc:token:counter,@StandAloneTokenCounter,stand:alone:token:counter,main,main,AMapReduceTracer,a:map:reduce:tracer,comp533.view.TokenCounterView,token:counter:view,@ViewClass,view:class,TokenCounterView,token:counter:view
comp533.MvcTokenCounter,mvc:token:counter,@StandAloneTokenCounter,stand:alone:token:counter,main,main,AMapReduceTracer,a:map:reduce:tracer,comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,getUserInput,get:user:input
comp533.view.TokenCounterView,token:counter:view,@ViewClass,view:class,propertyChange,property:change,AMapReduceTracer:AMapReduceTracer,a:map:reduce:tracer:a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,tracePropertyChange,trace:property:change
comp533.MyMapReduceConfiguration,my:map:reduce:configuration,MyMapReduceConfiguration,my:map:reduce:configuration,getReducer,get:reducer,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration,comp533.reducer.ReducerFactory,reducer:factory,@ReducerFactory,reducer:factory,getReducer,get:reducer
comp533.MyMapReduceConfiguration,my:map:reduce:configuration,MyMapReduceConfiguration,my:map:reduce:configuration,getTokenCountingMapper,get:token:counting:mapper,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration,comp533.mapper.MapperFactory,mapper:factory,@MapperFactory,mapper:factory,getMapper,get:mapper
comp533.mapper.SumMapper,sum:mapper,@IntSummingMapperClass,int:summing:mapper:class,map,map,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class,java.util.ArrayList,array:list,java.util.ArrayList,array:list,ArrayList,array:list
comp533.mapper.SumMapper,sum:mapper,@IntSummingMapperClass,int:summing:mapper:class,map,map,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class,comp533.keyValue.KeyValue,key:value,@KeyValueClass,key:value:class,KeyValue,key:value
