-1,Tue Feb 15 08:39:20 EST 2022,true,comp533\RunSpring22Assignment2Tests.java,expectedTypes,[@BasicSocialDistanceUtility, @SocialDistanceUilityTesterMain]
-1,Tue Feb 15 08:45:33 EST 2022,true,comp533\controller\TokenCounterController.java,expectedTypes,[@ReducerClass, @ModelClass, @MapperFactory, @ViewClass, @TokenCountingMapperClass, @ReducerFactory, @StandAloneTokenCounter, @PartitionerFactory, @JoinerClass, @KeyValueClass, @ControllerClass, @IntSummingMapperClass, @StandAloneIntegerSummer, @BarrierClass, @PartitionerClass, @SlaveClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,expectedTypes,[@ReducerClass, @ModelClass, @MapperFactory, @ViewClass, @TokenCountingMapperClass, @ReducerFactory, @StandAloneTokenCounter, @PartitionerFactory, @JoinerClass, @KeyValueClass, @ControllerClass, @IntSummingMapperClass, @StandAloneIntegerSummer, @BarrierClass, @PartitionerClass, @SlaveClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,tags,comp533.controller.TokenCounterController,@ControllerClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,nameInDictionary,comp533.controller.TokenCounterController,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,nameInDictionary,comp533.controller.TokenCounterController,controller
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,nameInDictionary,comp533.controller.TokenCounterController,token
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,nameInDictionary,comp533.controller.TokenCounterController,counter
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,nameInDictionary,scan,scan
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,nameInDictionary,line,line
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,nameInDictionary,model,model
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,nameInDictionary,view,view
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,variableHasInterfaceType,ModelInterface,model
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,missingMethodCall,@ModelClass!setNumThreads:int->void,No method,comp533.controller.TokenCounterController:[@ControllerClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,missingMethodCall,gradingTools.comp533s19.assignment0.AMapReduceTracer!traceThreadPrompt:->void,No method,comp533.controller.TokenCounterController:[@ControllerClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,publicMethodsDoNotOverride,[public  getUserInput:comp533.model.ModelInterface;comp533.view.TokenCounterView->void]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\controller\TokenCounterController.java,classDoesNotHaveAtLeastOneInterface,comp533.controller.TokenCounterController,No Tag
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,tags,comp533.keyValue.KeyValue,@KeyValueClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,nameInDictionary,comp533.keyValue.KeyValue,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,nameInDictionary,comp533.keyValue.KeyValue,key
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,nameInDictionary,comp533.keyValue.KeyValue,value
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,nameInDictionary,key,key
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,nameInDictionary,value,value
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,nameInDictionary,newValue,new
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,nameInDictionary,newValue,value
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,classHasAtLeastOneInterface,comp533.keyValue.KeyValue,No Tag
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValue.java,publicMethodsDoNotOverride,[public  getKey:->TypeParam0, public  getValue:->TypeParam1, public  setValue:TypeParam1->void, public  toString:->String]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValueInterface.java,tags,comp533.keyValue.KeyValueInterface,@KeyValueClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValueInterface.java,nameInDictionary,comp533.keyValue.KeyValueInterface,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValueInterface.java,nameInDictionary,comp533.keyValue.KeyValueInterface,key
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValueInterface.java,nameInDictionary,comp533.keyValue.KeyValueInterface,value
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\keyValue\KeyValueInterface.java,nameInDictionary,comp533.keyValue.KeyValueInterface,interface
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,tags,comp533.mapper.Mapper,@TokenCountingMapperClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,nameInDictionary,comp533.mapper.Mapper,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,nameInDictionary,comp533.mapper.Mapper,mapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,nameInDictionary,keyValueList,key
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,nameInDictionary,keyValueList,value
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,nameInDictionary,keyValueList,list
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,nameInDictionary,token,token
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,nameInDictionary,current,current
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,nameInDictionary,aStrings,a
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,nameInDictionary,aStrings,strings
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,variableHasInterfaceType,KeyValueInterface,current
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,publicMethodsOverride,[]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\Mapper.java,classHasAtLeastOneInterface,comp533.mapper.Mapper,No Tag
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,tags,comp533.mapper.MapperFactory,@MapperFactory
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,nameInDictionary,comp533.mapper.MapperFactory,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,nameInDictionary,comp533.mapper.MapperFactory,mapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,nameInDictionary,comp533.mapper.MapperFactory,factory
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,nameInDictionary,mapper,mapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,nameInDictionary,newMapper,new
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,nameInDictionary,newMapper,mapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,variableHasInterfaceType,MapperInterface,mapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,variableHasInterfaceType,MapperInterface,getMapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperFactory.java,variableHasInterfaceType,MapperInterface,newMapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperInterface.java,tags,comp533.mapper.MapperInterface,@TokenCountingMapperClass + @IntSummingMapperClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperInterface.java,nameInDictionary,comp533.mapper.MapperInterface,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperInterface.java,nameInDictionary,comp533.mapper.MapperInterface,mapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperInterface.java,nameInDictionary,comp533.mapper.MapperInterface,interface
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperInterface.java,nameInDictionary,aStrings,a
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\MapperInterface.java,nameInDictionary,aStrings,strings
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\SumMapper.java,tags,comp533.mapper.SumMapper,@IntSummingMapperClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\SumMapper.java,nameInDictionary,comp533.mapper.SumMapper,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\SumMapper.java,nameInDictionary,comp533.mapper.SumMapper,mapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\mapper\SumMapper.java,nameInDictionary,comp533.mapper.SumMapper,sum
