#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Mar 01 12:02:23 EST 2022,0,0,A3SpecificStyleSuite, , ,A3ExpectedCalls+ A3ExpectedInterfaces+ A3ExpectedSignatures+ A3SpuriousCalls+ ,A3AccessModifiersMatched A3ConfigurationProvided A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartialReduce ClientSumPartitionReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumPartialReduce DistributedSumQuit DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,
1,Tue Mar 01 12:02:34 EST 2022,0,0,BasicDistributedCounts, , ,A3ConfigurationProvided+ A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls ClientTokenCountPartialReduce+ ClientTokenCountQuit+ DistributedTokenCountPartialReduce+ DistributedTokenCountQuit+ DistributedTokenCountResult+ ,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartialReduce ClientSumPartitionReduce ClientSumQuit ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumPartialReduce DistributedSumQuit DistributedSumResult ,
2,Tue Mar 01 12:02:36 EST 2022,0,0,BasicDistributedFacebookMapReduce, , ,A3ConfigurationProvided A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls ClientFacebookMapReducePartialReduce+ ClientFacebookMapReduceQuit+ ClientTokenCountPartialReduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce+ DistributedFacebookMapReduceQuit+ DistributedFacebookMapReduceResult+ DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientSumPartialReduce ClientSumPartitionReduce ClientSumQuit ClientTokenCountPartition3Reduce DistributedSumPartialReduce DistributedSumQuit DistributedSumResult ,
3,Tue Mar 01 12:02:40 EST 2022,0,0,DistributedPartitionedReduce, , ,A3ConfigurationProvided A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce+ ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce+ ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult+ DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,
4,Tue Mar 01 12:02:43 EST 2022,0,0,A3GeneralStyleSuite, , ,A3AccessModifiersMatched+ A3ConfigurationProvided A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3InterfaceAsType+ A3MnemonicNames+ A3NamedConstants+ A3NoCheckstyleWarnings+ A3PublicMethodsOverride+ A3SpuriousCalls ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,
5,Tue Mar 01 12:20:14 EST 2022,3,3,A3SpecificStyleSuite,A3SpuriousCalls+ , ,A3AccessModifiersMatched A3ConfigurationProvided A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,
6,Tue Mar 01 13:03:55 EST 2022,3,0,A3SpecificStyleSuite,A3SpuriousCalls ,A3ExpectedCalls+ A3ExpectedInterfaces+ ,A3AccessModifiersMatched A3ConfigurationProvided A3ExpectedSignatures A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,
7,Tue Mar 01 13:03:58 EST 2022,7,4,A3GeneralStyleSuite,A3AccessModifiersMatched+ A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType+ A3MnemonicNames+ A3NamedConstants+ A3PublicMethodsOverride+ ,A3ConfigurationProvided A3ExpectedSignatures A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,
8,Tue Mar 01 13:04:01 EST 2022,7,0,BasicDistributedFacebookMapReduce,A3AccessModifiersMatched A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType A3MnemonicNames A3NamedConstants A3PublicMethodsOverride ,A3ConfigurationProvided A3ExpectedSignatures A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,
9,Tue Mar 01 13:04:03 EST 2022,7,0,A3ConfigurationProvided,A3AccessModifiersMatched A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType A3MnemonicNames A3NamedConstants A3PublicMethodsOverride ,A3ConfigurationProvided A3ExpectedSignatures A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,
