Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
11,,Tue Mar 15 10:27:50 EDT 2022,MyMapReduceConfiguration.java,1647354470105,164721,0,(F)5,0.0,0.0,0.0,100.0,0.0,0.0,0.03048780487804878,0.0,0.0,0.03048780487804878,0.0,0.0,0.0,0.0,[]
12,,Tue Mar 15 10:30:34 EDT 2022,SumMain.java,1647354634826,21348,0,(I)1(F)1,0.5,0.0,0.0,50.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,[]
13,,Tue Mar 15 10:30:56 EDT 2022,RunSpring22Assignment3Tests.java,1647354656174,80608,0,(F)3(I)8,0.7272727272727273,0.0,0.0,27.27272727272727,0.0,0.0,0.1375,0.0,0.0,0.0375,0.0,0.0,0.1,0.0,[]
14,,Tue Mar 15 10:32:21 EDT 2022,MyMapReduceConfiguration.java,1647354741420,30760,0,(I)3(R)1(I)8,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.03333333333333333,0.36666666666666664,0.0,[]
15,,Tue Mar 15 10:32:52 EDT 2022,MyMapReduceConfiguration.java,1647354772180,33129,0,(F)6(I)1(R)2(I)1(R)1(I)1,0.25,0.0,0.0,50.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.0,[]
16,,Tue Mar 15 10:33:25 EDT 2022,MyMapReduceConfiguration.java,1647354805418,-6841,-6841,(R)1(I)1(R)1(I)7(R)1(I)5(R)1(I)2(R)1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
17,,Tue Mar 15 10:33:23 EDT 2022,MyMapReduceConfiguration.java,1647354803608,39825,0,(R)3(I)1(R)1(I)11,0.75,0.0,0.0,0.0,0.0,0.0,0.41025641025641024,0.0,0.0,0.0,0.0,0.10256410256410256,0.3076923076923077,0.0,[]
18,,Tue Mar 15 10:34:03 EDT 2022,MyMapReduceConfiguration.java,1647354843512,13110,0,(I)14(F)2(I)4,0.9,0.0,0.0,10.0,0.0,0.0,1.5384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,1.3846153846153846,0.0,[]
19,,Tue Mar 15 10:34:16 EDT 2022,MyMapReduceConfiguration.java,1647354856817,20122,0,(I)16,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,[]
20,,Tue Mar 15 10:34:37 EDT 2022,MyMapReduceConfiguration.java,1647354877103,16366,0,(I)4(F)2(I)13,0.8947368421052632,0.0,0.0,10.526315789473683,0.0,0.0,1.1875,0.0,0.0,0.125,0.0,0.0,1.0625,0.0,[]
21,,Tue Mar 15 10:34:53 EDT 2022,MyMapReduceConfiguration.java,1647354893550,25426,0,(I)1(F)4(I)7(F)2,0.5714285714285714,0.0,0.0,42.857142857142854,0.0,0.0,0.56,0.0,0.0,0.24,0.0,0.0,0.32,0.0,[]
22,,Tue Mar 15 10:35:19 EDT 2022,MyMapReduceConfiguration.java,1647354919065,14744,0,(I)18,1.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,[]
