Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.main.SummerModel,summer:model,SummerModel,summer:model,addPropertyChangeListener,add:property:change:listener,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,addPropertyChangeListener,add:property:change:listener
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.main.Stack,stack,comp533.main.Stack,stack,isEmpty,is:empty
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.main.Stack,stack,comp533.main.Stack,stack,isEmpty,is:empty
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.main.Stack,stack,comp533.main.Stack,stack,pop,pop
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.main.Stack,stack,comp533.main.Stack,stack,pop,pop
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.slave.SlaveInterface,slave:interface,@SlaveClass,slave:class,setClient,set:client
comp533.main.SummerModel,summer:model,SummerModel,summer:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
comp533.main.SummerModel,summer:model,SummerModel,summer:model,clearReductionQueues,clear:reduction:queues,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.concurrent.ConcurrentLinkedQueue,concurrent:linked:queue,java.util.concurrent.ConcurrentLinkedQueue,concurrent:linked:queue,clear,clear
comp533.main.SummerModel,summer:model,SummerModel,summer:model,unblockSlaveThreads,unblock:slave:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.List,list,java.util.List,list,get,get
comp533.main.SummerModel,summer:model,SummerModel,summer:model,unblockSlaveThreads,unblock:slave:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.slave.SlaveInterface,slave:interface,@SlaveClass,slave:class,notifySlave,notify:slave
comp533.main.SummerModel,summer:model,SummerModel,summer:model,initializeStructures,initialize:structures,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.main.HashMap,hash:map,comp533.main.HashMap,hash:map,HashMap,hash:map
comp533.main.SummerModel,summer:model,SummerModel,summer:model,initializeStructures,initialize:structures,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,ArrayBlockingQueue,array:blocking:queue
comp533.main.SummerModel,summer:model,SummerModel,summer:model,initializeStructures,initialize:structures,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.concurrent.ConcurrentLinkedQueue,concurrent:linked:queue,java.util.concurrent.ConcurrentLinkedQueue,concurrent:linked:queue,clear,clear
comp533.main.SummerModel,summer:model,SummerModel,summer:model,produceBoundedBuffer,produce:bounded:buffer,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceEnqueueRequest,trace:request
comp533.main.SummerModel,summer:model,SummerModel,summer:model,produceBoundedBuffer,produce:bounded:buffer,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,put,put
comp533.main.SummerModel,summer:model,SummerModel,summer:model,produceBoundedBuffer,produce:bounded:buffer,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceEnqueue,trace
comp533.main.SummerModel,summer:model,SummerModel,summer:model,endEnqueue,end,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceEnqueueRequest,trace:request
comp533.main.SummerModel,summer:model,SummerModel,summer:model,endEnqueue,end,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,put,put
comp533.main.SummerModel,summer:model,SummerModel,summer:model,endEnqueue,end,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,util.trace.Tracer,tracer,util.trace.Tracer,tracer,error,error
comp533.main.SummerModel,summer:model,SummerModel,summer:model,endEnqueue,end,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,InterruptedException,interrupted:exception,java.lang.InterruptedException,interrupted:exception,getMessage,get:message
comp533.main.SummerModel,summer:model,SummerModel,summer:model,startThreads,start:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,Thread,thread,java.lang.Thread,thread,getState,get:state
comp533.main.SummerModel,summer:model,SummerModel,summer:model,startThreads,start:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,Thread,thread,java.lang.Thread,thread,start,start
comp533.main.SummerModel,summer:model,SummerModel,summer:model,problemSplit,problem:split,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,String,string,java.lang.String,string,split,split
comp533.main.SummerModel,summer:model,SummerModel,summer:model,problemSplit,problem:split,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.mapper.SumMapper,sum:mapper,@IntSummingMapperClass,int:summing:mapper:class,SumMapper,sum:mapper
comp533.main.SummerModel,summer:model,SummerModel,summer:model,problemSplit,problem:split,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.mapper.MapperInterface,mapper:interface,@IntSummingMapperClass+@TokenCountingMapperClass,int:summing:mapper:class:token:counting:mapper:class,map,map
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.main.HashMap,hash:map,comp533.main.HashMap,hash:map,HashMap,hash:map
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.keyValue.KeyValueInterface,key:value:interface,@KeyValueClass,key:value:class,getKey,get:key
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.keyValue.KeyValueInterface,key:value:interface,@KeyValueClass,key:value:class,getValue,get:value
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.Map,map,java.util.Map,map,containsKey,contains:key
