#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Apr 01 12:34:56 EDT 2022,0,0,A5SpecificStyleSuite, , ,A5ExpectedCalls+ A5ExpectedInterfaces+ A5ExpectedSignatures+ A5ProjectOrganization+ A5SpuriousCalls+ A5TaggedClassesDefined+ ,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5PublicMethodsOverride GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic ,
1,Fri Apr 01 12:35:09 EDT 2022,0,0,A5SpecificStyleSuite, , ,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined ,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5PublicMethodsOverride GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic ,
2,Fri Apr 01 12:36:27 EDT 2022,9,9,Assignment5OneClientSuite,GIPCRMIOneClientConnection+ GIPCRMIOneClientReadWriteNonAtomic+ ,GIPCRMIStaticArguments+ ,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined ,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5PublicMethodsOverride GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic ,
3,Fri Apr 01 12:47:59 EDT 2022,33,24,Assignment5TwoClientSuite,GIPCRMIClientMetaStateBroadcast+ GIPCRMIClientMetaStateNoBroadcast+ GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast+ GIPCRMIServerMetaStateNoBroadcast+ GIPCRMITwoClientConnection+ ,GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic+ ,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined ,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5PublicMethodsOverride ,
4,Fri Apr 01 13:13:56 EDT 2022,33,0,A5GeneralStyleSuite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5AccessModifiersMatched+ A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5InterfaceAsType+ A5MnemonicNames+ A5NamedConstants+ A5NoCheckstyleWarnings+ A5ProjectOrganization A5PublicMethodsOverride+ A5SpuriousCalls A5TaggedClassesDefined , ,
5,Fri Apr 01 17:43:19 EDT 2022,33,0,A5SpecificStyleSuite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5AccessModifiersMatched A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5ProjectOrganization A5PublicMethodsOverride A5SpuriousCalls A5TaggedClassesDefined , ,
6,Fri Apr 01 17:43:21 EDT 2022,33,0,A5ExpectedSignatures,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5AccessModifiersMatched A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5ProjectOrganization A5PublicMethodsOverride A5SpuriousCalls A5TaggedClassesDefined , ,
7,Fri Apr 01 17:43:28 EDT 2022,33,0,GIPCRMITwoClientReadWriteNonAtomic,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5AccessModifiersMatched A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5ProjectOrganization A5PublicMethodsOverride A5SpuriousCalls A5TaggedClassesDefined , ,
8,Fri Apr 01 17:52:12 EDT 2022,33,0,GIPCRMIStaticArguments,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5AccessModifiersMatched A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5ProjectOrganization A5PublicMethodsOverride A5SpuriousCalls A5TaggedClassesDefined , ,
9,Fri Apr 01 18:58:16 EDT 2022,42,9,A5SpecificStyleSuite,A5ExpectedCalls+ A5ExpectedSignatures+ GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5TaggedClassesDefined+ GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5AccessModifiersMatched A5ExpectedInterfaces A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5ProjectOrganization A5PublicMethodsOverride A5SpuriousCalls , ,
10,Fri Apr 01 18:58:53 EDT 2022,42,0,A5ExpectedInterfaces,A5ExpectedCalls A5ExpectedSignatures GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5AccessModifiersMatched A5ExpectedInterfaces A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5ProjectOrganization A5PublicMethodsOverride A5SpuriousCalls , ,
11,Fri Apr 01 18:58:57 EDT 2022,42,0,A5TaggedClassesDefined,A5ExpectedCalls A5ExpectedSignatures GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5AccessModifiersMatched A5ExpectedInterfaces A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5ProjectOrganization A5PublicMethodsOverride A5SpuriousCalls , ,
12,Fri Apr 01 18:59:33 EDT 2022,42,0,A5GeneralStyleSuite,A5ExpectedCalls A5ExpectedSignatures GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched+ A5InterfaceAsType+ A5MnemonicNames+ A5NamedConstants+ A5PublicMethodsOverride+ A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization A5SpuriousCalls , ,
