Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.RunTests,run:tests,RunTests,run:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setTracerShowInfo,set:tracer:show:info
comp533.RunTests,run:tests,RunTests,run:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setBufferTracedMessages,set:buffer:traced:messages
comp533.RunTests,run:tests,RunTests,run:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxPrintedTraces,set:max:printed:traces
comp533.RunTests,run:tests,RunTests,run:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxTraces,set:max:traces
comp533.RunTests,run:tests,RunTests,run:tests,main,main,none,none,grader.basics.execution.BasicProjectExecution,basic:project:execution,grader.basics.execution.BasicProjectExecution,basic:project:execution,setProcessTimeOut,set:process:time:out
comp533.RunTests,run:tests,RunTests,run:tests,main,main,none,none,gradingTools.comp533s22.assignment5.S22Assignment5Suite,assignment:suite,gradingTools.comp533s22.assignment5.S22Assignment5Suite,assignment:suite,main,main
comp533.server.RemoteServerObject,remote:server:object,@@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags:distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags,quit,quit,AnAbstractSimulationParametersBean:Remote,an:abstract:simulation:parameters:bean:remote,System,system,java.lang.System,system,exit,exit
comp533.server.RemoteServerObject,remote:server:object,@@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags:distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags,processCommands,process:commands,AnAbstractSimulationParametersBean:Remote,an:abstract:simulation:parameters:bean:remote,assignments.util.inputParameters.AnAbstractSimulationParametersBean,an:abstract:simulation:parameters:bean,assignments.util.inputParameters.AnAbstractSimulationParametersBean,an:abstract:simulation:parameters:bean,setBroadcastMetaState,set:broadcast:state
comp533.server.RemoteServerObject,remote:server:object,@@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags:distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags,processCommands,process:commands,AnAbstractSimulationParametersBean:Remote,an:abstract:simulation:parameters:bean:remote,assignments.util.inputParameters.AnAbstractSimulationParametersBean,an:abstract:simulation:parameters:bean,assignments.util.inputParameters.AnAbstractSimulationParametersBean,an:abstract:simulation:parameters:bean,setIPCMechanism,set:mechanism
comp533.server.RemoteServerObject,remote:server:object,@@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags:distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags,processCommands,process:commands,AnAbstractSimulationParametersBean:Remote,an:abstract:simulation:parameters:bean:remote,stringProcessors.AHalloweenCommandProcessor,a:halloween:command:processor,stringProcessors.AHalloweenCommandProcessor,a:halloween:command:processor,AHalloweenCommandProcessor,a:halloween:command:processor
comp533.server.RemoteServerObject,remote:server:object,@@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags:distributed:tags:server:remote:object:distributed:tags:rmi:distributed:tags,processCommands,process:commands,AnAbstractSimulationParametersBean:Remote,an:abstract:simulation:parameters:bean:remote,stringProcessors.HalloweenCommandProcessor,halloween:command:processor,stringProcessors.HalloweenCommandProcessor,halloween:command:processor,processCommand,process:command
comp533.server.RMIAndGIPCServer,rmi:and:server,@@DistributedTags.SERVER+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:rmi:distributed:tags:distributed:tags:server:distributed:tags:rmi:distributed:tags,start,start,AnAbstractSimulationParametersBean:Remote:@DistributedTags.SERVER+@DistributedTags.RMI:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC:SimulationParametersListener:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,an:abstract:simulation:parameters:bean:remote:distributed:tags:server:distributed:tags:rmi:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:distributed:tags:rmi:distributed:tags:distributed:tags:server:distributed:tags:rmi:distributed:tags:simulation:parameters:listener:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,comp533.server.RMIAndGIPCServer,rmi:and:server,@@DistributedTags.SERVER+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:rmi:distributed:tags:distributed:tags:server:distributed:tags:rmi:distributed:tags,init,none
comp533.server.RMIAndGIPCServer,rmi:and:server,@@DistributedTags.SERVER+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:rmi:distributed:tags:distributed:tags:server:distributed:tags:rmi:distributed:tags,start,start,AnAbstractSimulationParametersBean:Remote:@DistributedTags.SERVER+@DistributedTags.RMI:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC:SimulationParametersListener:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,an:abstract:simulation:parameters:bean:remote:distributed:tags:server:distributed:tags:rmi:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:distributed:tags:rmi:distributed:tags:distributed:tags:server:distributed:tags:rmi:distributed:tags:simulation:parameters:listener:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,util.interactiveMethodInvocation.SimulationParametersControllerFactory,simulation:parameters:controller:factory,util.interactiveMethodInvocation.SimulationParametersControllerFactory,simulation:parameters:controller:factory,addSimulationParameterListener,add:simulation:parameter:listener
