#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Apr 01 11:34:28 EDT 2022,11,11,GIPCRMITwoClientConnection,GIPCRMITwoClientConnection+ , , ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,
1,Fri Apr 01 11:37:11 EDT 2022,11,0,GIPCRMITwoClientReadWriteNonAtomic,GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic+ , ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments ,
2,Fri Apr 01 11:38:18 EDT 2022,11,0,GIPCRMITwoClientReadWriteNonAtomic,GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic , ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments ,
3,Fri Apr 01 11:38:20 EDT 2022,11,0,GIPCRMITwoClientReadWriteNonAtomic,GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic , ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments ,
4,Fri Apr 01 11:38:27 EDT 2022,11,0,GIPCRMITwoClientReadWriteNonAtomic,GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic , ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments ,
5,Fri Apr 01 11:38:56 EDT 2022,22,11,GIPCRMIClientMetaStateNoBroadcast,GIPCRMIClientMetaStateNoBroadcast+ GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic , ,GIPCRMIClientMetaStateBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments ,
6,Fri Apr 01 11:51:21 EDT 2022,33,11,GIPCRMIClientMetaStateBroadcast,GIPCRMIClientMetaStateBroadcast+ GIPCRMIClientMetaStateNoBroadcast GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic , ,GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments ,
7,Fri Apr 01 11:51:50 EDT 2022,44,11,GIPCRMIServerMetaStateNoBroadcast,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIServerMetaStateNoBroadcast+ GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic , ,GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIStaticArguments ,
8,Fri Apr 01 11:52:49 EDT 2022,55,11,GIPCRMIServerMetaStateBroadcast,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIServerMetaStateBroadcast+ GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic , ,GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIStaticArguments ,
9,Fri Apr 01 12:20:03 EDT 2022,77,22,Assignment5OneClientSuite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection+ GIPCRMIOneClientReadWriteNonAtomic+ GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,GIPCRMIStaticArguments+ GIPCRMITwoClientReadWriteNonAtomic , , ,
10,Fri Apr 01 12:20:21 EDT 2022,77,0,Assignment5OneClientSuite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic , , ,
