#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Tue Jan 18 11:32:59 EST 2022,33,33,GreetingMainProvided,GreetingClassRegistryProvided+ GreetingMainProvided+ , , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun ,0,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
1,Tue Jan 18 11:33:01 EST 2022,50,17,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided GreetingRun+ , , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle ,0,1,false, , , ,GreetingRun-(6.0/6.0) , ,
2,Tue Jan 18 11:33:02 EST 2022,50,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,GreetingCheckstyle+ ,A0MnemonicNames A0NoCheckstyleWarnings ,0,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
3,Tue Jan 18 11:33:04 EST 2022,50,0,A0Style,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames+ A0NoCheckstyleWarnings+ GreetingCheckstyle , ,0,3,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(0.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
4,Tue Jan 18 11:33:54 EST 2022,50,0,A0Style,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle , ,1,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(0.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
5,Tue Jan 18 11:33:56 EST 2022,50,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle , ,1,1,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
6,Tue Jan 18 11:33:58 EST 2022,50,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle , ,1,2,false, ,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun-(6.0/6.0) , ,
7,Tue Jan 18 11:36:59 EST 2022,50,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle , ,2,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
8,Tue Jan 18 11:37:00 EST 2022,50,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle , ,2,1,false, , , ,GreetingRun-(6.0/6.0) , ,
9,Tue Jan 18 11:37:02 EST 2022,50,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle , ,2,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
10,Tue Jan 18 11:37:04 EST 2022,50,0,A0Style,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle , ,2,3,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(0.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
11,Tue Jan 18 11:38:32 EST 2022,66,16,GreetingCheckstyle,GreetingCheckstyle+ GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings , ,3,0,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
12,Tue Jan 18 11:38:59 EST 2022,66,0,GreetingClassRegistryProvided,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings , ,3,1,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
13,Tue Jan 18 11:39:00 EST 2022,66,0,GreetingMainProvided,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings , ,3,2,false, , , ,GreetingMainProvided-(2.0/2.0) , ,
14,Tue Jan 18 11:39:01 EST 2022,66,0,GreetingRun,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0MnemonicNames A0NoCheckstyleWarnings , ,3,3,false, , , ,GreetingRun-(6.0/6.0) , ,
