Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
58,,Tue Jan 18 11:28:35 EST 2022,RunF21A01Tests.java,1642523315865,32962,0,(F)1(I)1(F)6(R)1(F)2,0.09090909090909091,0.0,0.0,81.81818181818183,0.0,0.0,0.34375,0.0,0.0,0.28125,0.0,0.03125,0.03125,0.0,[]
59,,Tue Jan 18 11:29:12 EST 2022,RunF21A01Tests.java,1642523352225,29676,0,(F)8(I)2(F)2,0.16666666666666666,0.0,0.0,83.33333333333334,0.0,0.0,0.41379310344827586,0.0,0.0,0.3448275862068966,0.0,0.0,0.06896551724137931,0.0,[]
60,,Tue Jan 18 11:29:41 EST 2022,RunF21A01Tests.java,1642523381903,37702,0,(F)2(I)5,0.7142857142857143,0.0,0.0,28.57142857142857,0.0,0.0,0.1891891891891892,0.0,0.0,0.05405405405405406,0.0,0.0,0.13513513513513514,0.0,[]
61,,Tue Jan 18 11:30:21 EST 2022,ClassRegistry.java,1642523421389,14977,0,(I)10(F)2,0.8333333333333334,0.0,0.0,16.666666666666664,0.0,0.0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,[]
62,,Tue Jan 18 11:30:39 EST 2022,ClassRegistry.java,1642523439948,96859,0,(I)1(F)4(I)7(R)1(I)1(R)1,0.6,0.0,0.0,26.666666666666668,0.0,0.0,0.15625,0.0,0.0,0.041666666666666664,0.0,0.020833333333333332,0.09375,0.0,[]
63,,Tue Jan 18 11:32:18 EST 2022,ClassRegistry.java,1642523538117,15451,0,(F)2(I)2(R)1(I)1(R)1(I)1(R)1,0.4444444444444444,0.0,0.0,22.22222222222222,0.0,0.0,0.6,0.0,0.0,0.13333333333333333,0.0,0.2,0.26666666666666666,0.0,[]
64,,Tue Jan 18 11:32:33 EST 2022,RunF21A01Tests.java,1642523553662,15782,0,(F)2(I)1(R)1(I)1(R)4(I)9,0.6111111111111112,0.0,0.0,11.11111111111111,0.0,0.0,1.2,0.0,0.0,0.13333333333333333,0.0,0.3333333333333333,0.7333333333333333,0.0,[]
65,,Tue Jan 18 11:32:49 EST 2022,RunF21A01Tests.java,1642523569447,17244,0,(I)2(D)2(F)2(I)1,0.42857142857142855,28.57142857142857,0.0,28.57142857142857,0.0,0.0,0.4117647058823529,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.17647058823529413,0.0,[]
66,,Tue Jan 18 11:33:09 EST 2022,RunF21A01Tests.java,1642523589056,23477,0,(F)2(I)3(F)1(I)1(F)1(I)1,0.5555555555555556,0.0,0.0,44.44444444444444,0.0,0.0,0.391304347826087,0.0,0.0,0.17391304347826086,0.0,0.0,0.21739130434782608,0.0,[]
67,,Tue Jan 18 11:33:32 EST 2022,ClassRegistry.java,1642523612533,-63463,-63463,(I)1(F)2(I)7(R)4(I)1,0.6,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
68,,Tue Jan 18 11:32:30 EST 2022,RunS22A0Tests.java,1642523550605,82571,0,(R)2(I)1(R)2(I)11(D)2(F)1,0.631578947368421,10.526315789473683,0.0,5.263157894736842,0.0,0.0,0.23170731707317074,0.0,0.024390243902439025,0.012195121951219513,0.0,0.04878048780487805,0.14634146341463414,0.0,[]
69,,Tue Jan 18 11:33:54 EST 2022,RunS22A0Tests.java,1642523634342,87453,0,(F)4(I)2(F)1(I)2,0.4444444444444444,0.0,0.0,55.55555555555556,0.0,0.0,0.10344827586206896,0.0,0.0,0.05747126436781609,0.0,0.0,0.04597701149425287,0.0,[]
70,,Tue Jan 18 11:35:23 EST 2022,ClassRegistry.java,1642523723174,55536,0,(F)2(I)1(R)2(I)3,0.5,0.0,0.0,25.0,0.0,0.0,0.14545454545454545,0.0,0.0,0.03636363636363636,0.0,0.03636363636363636,0.07272727272727272,0.0,[]
71,,Tue Jan 18 11:36:19 EST 2022,ClassRegistry.java,1642523779213,9051,9051,(I)2(R)1(I)13(R)1,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.0,0.0,0.2222222222222222,1.6666666666666667,0.0,[]
72,,Tue Jan 18 11:36:28 EST 2022,RunS22A0Tests.java,1642523788264,34113,0,(I)4(R)1(I)1(D)1(F)1,0.625,12.5,0.0,12.5,0.0,0.0,0.23529411764705882,0.0,0.029411764705882353,0.029411764705882353,0.0,0.029411764705882353,0.14705882352941177,0.0,[]
73,,Tue Jan 18 11:37:02 EST 2022,RunS22A0Tests.java,1642523822377,122358,0,(F)3(D)1(F)1,0.0,20.0,0.0,80.0,0.0,0.0,0.040983606557377046,0.0,0.00819672131147541,0.03278688524590164,0.0,0.0,0.0,0.0,[]
74,,Tue Jan 18 11:39:04 EST 2022,RunS22A0Tests.java,1642523944735,33908,0,(F)1(I)1(R)2(I)5,0.6666666666666666,0.0,0.0,11.11111111111111,0.0,0.0,0.2727272727272727,0.0,0.0,0.030303030303030304,0.0,0.06060606060606061,0.18181818181818182,0.0,[]
75,,Tue Jan 18 11:39:38 EST 2022,RunS22A0Tests.java,1642523978893,4265,4265,(I)7(R)2(I)4,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.5,2.75,0.0,[]
76,,Tue Jan 18 11:39:43 EST 2022,RunS22A0Tests.java,1642523983246,38069,0,(I)4(F)1(I)1(F)1(I)3,0.8,0.0,0.0,20.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.05263157894736842,0.0,0.0,0.21052631578947367,0.0,[]
77,,Tue Jan 18 11:40:22 EST 2022,RunS22A0Tests.java,1642524022325,86699,0,(R)2(I)1(F)8,0.09090909090909091,0.0,0.0,72.72727272727273,0.0,0.0,0.12790697674418605,0.0,0.0,0.09302325581395349,0.0,0.023255813953488372,0.011627906976744186,0.0,[]
78,,Tue Jan 18 11:41:51 EST 2022,RunS22A0Tests.java,1642524111502,108285,0,(F)3(I)2(F)1(I)5,0.6363636363636364,0.0,0.0,36.36363636363637,0.0,0.0,0.10185185185185185,0.0,0.0,0.037037037037037035,0.0,0.0,0.06481481481481481,0.0,[]
79,,Tue Jan 18 11:43:40 EST 2022,ClassRegistry.java,1642524220711,112323,0,(I)5(F)4(I)3,0.6666666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.10714285714285714,0.0,0.0,0.03571428571428571,0.0,0.0,0.07142857142857142,0.0,[]
80,,Tue Jan 18 11:45:33 EST 2022,RunSpring22Assignment0Tests.java,1642524333190,23182,0,(I)7(R)1(I)4(D)1(F)2,0.7333333333333333,6.666666666666667,0.0,13.333333333333334,0.0,0.0,0.6521739130434783,0.0,0.043478260869565216,0.08695652173913043,0.0,0.043478260869565216,0.4782608695652174,0.0,[]
81,,Tue Jan 18 11:45:56 EST 2022,RunSpring22Assignment0Tests.java,1642524356371,41044,0,(D)2(F)2(I)1(F)2,0.14285714285714285,28.57142857142857,0.0,57.14285714285714,0.0,0.0,0.17073170731707318,0.0,0.04878048780487805,0.0975609756097561,0.0,0.0,0.024390243902439025,0.0,[]
